Drug Protein Probability
1 50 0.9779337
1 61 0.9976428
3 109 0.91407907
3 120 0.9528487
3 140 0.92221683
3 166 0.98416466
3 261 0.9419737
3 274 0.9811715
3 310 0.976306
3 316 0.9322536
3 657 0.9635536
3 697 0.99510926
3 1001 0.9656561
4 274 0.99437827
4 331 0.9279138
4 375 0.95824194
4 436 0.94774646
4 461 0.93220925
4 547 0.91987354
4 985 0.9137498
5 257 0.91667867
6 395 0.9465533
7 27 0.9500671
7 50 0.97332674
7 61 0.9966078
7 367 0.9125538
7 428 0.95553136
9 50 0.98228043
9 166 0.9104346
9 274 0.90782875
9 279 0.96712273
9 365 0.9649696
9 427 0.92438805
9 436 0.95941013
9 462 0.92999244
9 1167 0.9007893
10 318 0.90929705
10 323 0.9821926
11 50 0.999534
11 65 0.96989876
11 165 0.9377602
11 310 0.99891675
11 367 0.9444367
11 427 0.9087537
11 436 0.98286027
11 460 0.91762125
11 461 0.9926037
11 462 0.9272592
11 1167 0.98597777
11 1170 0.9520335
12 99 0.93665594
12 165 0.9969169
12 289 0.9875367
12 310 0.98384684
12 327 0.9973678
12 395 0.94227576
12 431 0.98976105
13 11 0.98700535
13 13 0.9948289
13 27 0.9645473
13 32 0.9985165
13 50 0.9983997
13 84 0.99885535
13 99 0.97180486
13 116 0.9478731
13 151 0.9976859
13 166 0.97754294
13 224 0.9856844
13 279 0.9942979
13 289 0.9982509
13 310 0.99901354
13 318 0.9418919
13 323 0.9750128
13 328 0.9136697
13 329 0.97588503
13 369 0.9820148
13 375 0.97958815
13 424 0.9803067
13 427 0.9568752
13 436 0.99994016
13 460 0.9887494
13 462 0.95573145
13 917 0.9579351
13 923 0.98081505
13 925 0.99053615
13 1165 0.9504946
14 461 0.9169647
15 11 0.96631247
15 41 0.94393885
15 50 0.9724869
15 68 0.9929389
15 74 0.99797386
15 84 0.9872455
15 99 0.9936451
15 109 0.91966206
15 116 0.9937651
15 151 0.9985434
15 166 0.93280923
15 186 0.97170246
15 190 0.994826
15 233 0.97963893
15 279 0.99933547
15 310 0.9364925
15 321 0.97656155
15 323 0.9985129
15 367 0.9405301
15 381 0.99453175
15 395 0.9979261
15 427 0.9980363
15 431 0.998247
15 460 0.999894
15 461 0.99927634
15 462 0.93616503
15 580 0.94995135
15 582 0.90733826
15 598 0.9259814
15 697 0.9775548
15 847 0.9473028
15 931 0.9226604
15 986 0.9624461
15 988 0.913909
15 989 0.9705009
15 999 0.95957947
15 1060 0.9483498
15 1169 0.9224938
15 1203 0.9993198
15 1280 0.99126303
15 1281 0.98015976
15 1285 0.9655538
15 1287 0.9476263
15 1289 0.9369815
15 1395 0.9657471
16 13 0.9836805
16 50 0.98992014
16 84 0.96490586
16 140 0.9025658
16 151 0.9984126
16 165 0.9955711
16 195 0.9965514
16 224 0.94953144
16 257 0.91145235
16 310 0.9916619
16 318 0.9222242
16 323 0.9680162
16 328 0.9396639
16 363 0.9274611
16 427 0.9342868
16 441 0.93205833
16 461 0.9869804
16 571 0.91240263
16 1167 0.96556526
17 13 0.97593635
17 49 0.9893666
17 59 0.94032043
17 84 0.98999643
17 99 0.9702045
17 109 0.99795604
17 151 0.9949345
17 165 0.97145766
17 176 0.9579212
17 195 0.92907625
17 257 0.9706035
17 280 0.95270085
17 323 0.99356467
17 367 0.94359654
17 408 0.9875515
17 436 0.9606291
17 460 0.9927176
17 461 0.99143475
17 547 0.96709776
17 989 0.9685308
