Drug Protein Probability
Cetrorelix CHRM1 0.9779337
Cetrorelix HRH2 0.9976428
Vitamin A SCN5A 0.91407907
Vitamin A PPARG 0.9528487
Vitamin A CHRM5 0.92221683
Vitamin A HTR1A 0.98416466
Vitamin A MMAB 0.9419737
Vitamin A GABRA4 0.9811715
Vitamin A HTR2C 0.976306
Vitamin A POLA1 0.9322536
Vitamin A ANPEP 0.9635536
Vitamin A PDE4A 0.99510926
Vitamin A HDAC2 0.9656561
Pravastatin GABRA4 0.99437827
Pravastatin DRD3 0.9279138
Pravastatin HTR1D 0.95824194
Pravastatin DRD2 0.94774646
Pravastatin GABRA1 0.93220925
Pravastatin ADORA2A 0.91987354
Pravastatin GABBR2 0.9137498
Fluvoxamine HTR2A 0.91667867
Valsartan ADRB2 0.9465533
Ramipril CHRM3 0.9500671
Ramipril CHRM1 0.97332674
Ramipril HRH2 0.9966078
Ramipril SLC6A3 0.9125538
Ramipril GLRA2 0.95553136
Baclofen CHRM1 0.98228043
Baclofen HTR1A 0.9104346
Baclofen GABRA4 0.90782875
Baclofen SLC6A2 0.96712273
Baclofen KCNJ1 0.9649696
Baclofen TOP2A 0.92438805
Baclofen DRD2 0.95941013
Baclofen HTR1B 0.92999244
Baclofen GABRG2 0.9007893
Amphetamine KCNMA1 0.90929705
Amphetamine CHRM2 0.9821926
Nicotine CHRM1 0.999534
Nicotine SLC18A2 0.96989876
Nicotine ADRA2A 0.9377602
Nicotine HTR2C 0.99891675
Nicotine SLC6A3 0.9444367
Nicotine TOP2A 0.9087537
Nicotine DRD2 0.98286027
Nicotine NR3C1 0.91762125
Nicotine GABRA1 0.9926037
Nicotine HTR1B 0.9272592
Nicotine GABRG2 0.98597777
Nicotine GABRR2 0.9520335
Cevimeline ADRB1 0.93665594
Cevimeline ADRA2A 0.9969169
Cevimeline ADRA1A 0.9875367
Cevimeline HTR2C 0.98384684
Cevimeline ADRA2B 0.9973678
Cevimeline ADRB2 0.94227576
Cevimeline SLC6A4 0.98976105
Lorazepam PTGS1 0.98700535
Lorazepam DRD1 0.9948289
Lorazepam CHRM3 0.9645473
Lorazepam GLRB 0.9985165
Lorazepam CHRM1 0.9983997
Lorazepam DRD5 0.99885535
Lorazepam ADRB1 0.97180486
Lorazepam ABCC8 0.9478731
Lorazepam PTGS2 0.9976859
Lorazepam HTR1A 0.97754294
Lorazepam HTR2B 0.9856844
Lorazepam SLC6A2 0.9942979
Lorazepam ADRA1A 0.9982509
Lorazepam HTR2C 0.99901354
Lorazepam KCNMA1 0.9418919
Lorazepam CHRM2 0.9750128
Lorazepam HMGCR 0.9136697
Lorazepam ADRA1B 0.97588503
Lorazepam HTR7 0.9820148
Lorazepam HTR1D 0.97958815
Lorazepam CHRNA2 0.9803067
Lorazepam TOP2A 0.9568752
Lorazepam DRD2 0.99994016
Lorazepam NR3C1 0.9887494
Lorazepam HTR1B 0.95573145
Lorazepam BCHE 0.9579351
Lorazepam MAOB 0.98081505
Lorazepam MAOA 0.99053615
Lorazepam CHRNA3 0.9504946
Esmolol GABRA1 0.9169647
Bortezomib PTGS1 0.96631247
Bortezomib NR0B1 0.94393885
Bortezomib CHRM1 0.9724869
Bortezomib ESR1 0.9929389
Bortezomib AR 0.99797386
Bortezomib DRD5 0.9872455
Bortezomib ADRB1 0.9936451
Bortezomib SCN5A 0.91966206
Bortezomib ABCC8 0.9937651
Bortezomib PTGS2 0.9985434
Bortezomib HTR1A 0.93280923
Bortezomib TYMS 0.97170246
Bortezomib DHFR 0.994826
Bortezomib CHRM4 0.97963893
Bortezomib SLC6A2 0.99933547
Bortezomib HTR2C 0.9364925
Bortezomib PGR 0.97656155
Bortezomib CHRM2 0.9985129
Bortezomib SLC6A3 0.9405301
Bortezomib NR3C2 0.99453175
Bortezomib ADRB2 0.9979261
Bortezomib TOP2A 0.9980363
Bortezomib SLC6A4 0.998247
